Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Axess power,https://www.crunchbase.com/organization/axess-power,Private,For Profit,"Battery, Energy Storage, Industrial, Manufacturing, Renewable Energy",101-250,"Rome, Lazio, Italy","2,341,153",,"2,272,431",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energy, Manufacturing, Sustainability",,,,,,"Axess Power have been serving quality, reliable and safe battery solutions worldwide for over a decade. Our battery products are designed and manufactured using the advanced equipment and committed to the most stringent quality control. This process is key to ensuring both consistency and reliability with any product that carries the Axess Power’s appellation. Our range of battery products includes sealed maintenance free lead acid (SMF), gel, nickel cadmium, lithium iron and related accessories also, our R&D team are developing innovative solutions in the battery manufacturing for delivering a wide range of battery products.",,axesspower42@gmail.com,https://www.linkedin.com/in/axess-power/,https://www.axesspower.com/,,,,,2022-01-01,year,Active,"Axess Group delivers engineering and integrity solutions for players in the oil, energy, marine, and infrastructure industries worldwide.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Axis Lex,https://www.crunchbase.com/organization/axis-lex,Private,For Profit,"Advice, Compliance, Legal",11-50,"Rome, Lazio, Italy","3,450,630",,"3,361,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Media and Entertainment, Professional Services",,,,,,,+39 06 86631105,info@axislex.com,https://www.linkedin.com/company/axis-lex-s-t-a-r-l,https://www.axislex.it,,,,,2019-01-01,year,Active,"Axis Lex is a law firm that specializes in the area of credit recovery, civil, real estate, corporate litigation, and criminal law.",,187,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aziendo,https://www.crunchbase.com/organization/aziendo,Private,For Profit,"Human Resources, Management Consulting, Marketing",11-50,"Rome, Lazio, Italy","2,449,758",,"2,379,507",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Professional Services, Sales and Marketing",,,,,,,+39 06 41406306,,https://www.linkedin.com/company/aziendo,https://www.aziendo.it,,,,,2018-01-01,year,Active,Aziendo is a management consulting firm specializing in operational marketing and export management.,$1M to $10M,131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aziona Ventures,https://www.crunchbase.com/organization/aziona-ventures,Private,For Profit,"B2C, Information Technology, Internet",51-100,"Milan, Lombardia, Italy","1,242,924",,"1,191,474",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Other",,,,,,"Aziona Ventures manages strategy, online marketing, human resources, communications and public relations, legal, and finance. The developers of new ventures can concentrate only on building technology, validating and refining business models, and testing goods.",,,https://www.linkedin.com/company/aziona-ventures/,https://azionaventures.com,,,,,2021-01-01,year,Active,Aziona Ventures is a business incubator specializing on internet and technology companies.,,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AZZoo,https://www.crunchbase.com/organization/azzoo,Private,For Profit,"Real Estate, Real Estate Brokerage, Real Estate Investment",1-10,"Rome, Lazio, Italy","2,913,783",,"2,836,448",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincenzo Acunto,1.0,"Financial Services, Real Estate",,,,,,,,,https://www.linkedin.com/company/azz-%C3%B2,https://azzoo.online,,,,,2019-01-01,year,Active,AZZoo is a real estate management company.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BadgeApp,https://www.crunchbase.com/organization/badgeapp,Private,For Profit,Human Resources,,"Milan, Lombardia, Italy","1,098,716",,"1,050,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Angelica Brasacchio, Giuseppe Iemma",2.0,Administrative Services,,,,,,,,info@thebadgeapp.com,https://www.linkedin.com/company/thebadgeapp,https://thebadgeapp.com/,,,,,2024-04-23,day,Active,"BadgeApp is the company application that enables exchanging feedback, enhancing one's skills, and acknowledging them in others.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Barty Mix,https://www.crunchbase.com/organization/barty-mix,Private,For Profit,"Business Development, Food and Beverage",1-10,"Bari, Puglia, Italy","3,516,268",,"3,425,039",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giuseppe Digregorio,1.0,"Food and Beverage, Professional Services",,,,,,"Barty Mix is an innovative start-up founded by four curious. A team of highly experienced professionals, who study the market, analyze the critical points, and develop IoT solutions. Starting out from the real needs, Prototipia develops projects and searches for integrated and innovative solutions, helping businesses to increase the quality standards of their services and their competitiveness on the market.",+39 080 840 6280,info@bartymix.it,https://www.linkedin.com/company/bartymix,https://www.bartymix.it,,,,,2019-01-01,year,Active,Barty Mix is a automatic mixing device for the preparation of drinks.,$1M to $10M,70123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Basket Torino,https://www.crunchbase.com/organization/basket-torino,Private,For Profit,"Basketball, Sports, Sports Leagues and Teams",11-50,"Turin, Piemonte, Italy","1,124,888",,"1,075,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,"Basket Torino is a professional sports team that participates in the Serie A2 league overseen by the Lega Nazionale Pallacanestro. The organization values its connection to the local community and encourages the engagement of younger generations in sports. Its goal is to foster a community rooted in enthusiasm, enjoyment, and positive support while promoting principles such as loyalty, dedication, and collaboration.",+39 011-19044003,info@baskettorino.it,https://www.linkedin.com/company/basket-torino/,https://baskettorino.it,,,,,2019-01-01,year,Active,Basket Torino is a professional sports organization that participates in the Serie A2 league overseen by the Lega Nazionale Pallacanestro.,$1M to $10M,10155,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BBANG,https://www.crunchbase.com/organization/bbang,Private,For Profit,"Consulting, Creative Agency, Training",1-10,"Milan, Lombardia, Italy","3,347,640",,"3,261,358",,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Education, Media and Entertainment, Professional Services",,,,,,,39 02 3679 8900,info@bbang.it,https://www.linkedin.com/company/bbang,https://www.bbang.it,,,,,2020-01-01,year,Active,"BBANG is a communication studio that provides consulting, training, and design services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Be Marketers,https://www.crunchbase.com/organization/be-marketers,Private,For Profit,"Advertising, Digital Marketing, Graphic Design, SEO, Web Design",11-50,"Bari, Puglia, Italy","3,015,093",,"2,935,951",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Design, Internet Services, Sales and Marketing",,,,,,,+39 392 13 04 106,info@bemarketers.it,https://www.linkedin.com/company/bemarketers/,https://www.bemarketers.it,,,,,2018-01-01,year,Active,"Be Marketers is a digital marketing company that provides web design, SEO, brand identity, and online advertising services.",$1M to $10M,70125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Be-Different Agency,https://www.crunchbase.com/organization/be-different-agency,Private,,"Consulting, Food and Beverage, Sports, Tourism",,"Milan, Lombardia, Italy","3,742,220",,"3,643,546",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Redusa Levy,1.0,"Food and Beverage, Professional Services, Sports, Travel and Tourism",,,,,,"Be-Different Agency is a communication consultancy company that operates in the lifestyle sectors of tourism, destinations, transport, food & beverage, sport, and luxury with a network of professionals who share a long experience in the new trends of the Italian and international market.",,,,http://lab.prgoup.it/bedifferent,,,,,2021-01-01,year,Active,Be-Different Agency is a communication consultancy company.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Be2020,https://www.crunchbase.com/organization/be2020,Private,For Profit,"Business Development, Corporate Training, Management Consulting",,"Naples, Campania, Italy","3,393,337",,"3,305,825",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Professional Services",,,,,,,+39 081 663 118,info@be2020.it,https://www.linkedin.com/company/be2020,https://be2020.it,,,,,2019-01-01,year,Active,Be2020 is a management consulting firm that specializes in developing business strategies for small businesses to improve profits.,Less than $1M,80141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Bea Media Company,https://www.crunchbase.com/organization/bea-media-company,Private,For Profit,"Content, Journalism, Training",1-10,"Milan, Lombardia, Italy","3,240,225",,"3,156,570",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Bardazzi, Salvatore Ippolito",2.0,"Content and Publishing, Education, Media and Entertainment",,,,,,,,info@beamediacompany.com,https://www.linkedin.com/company/beamediacompany,https://www.beamediacompany.com,,,,,2021-01-01,month,Active,"Bea Media Company specializes in strategic communication, content strategy, and data-driven storytelling services.",,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beeopak,https://www.crunchbase.com/organization/beeopak,Private,For Profit,"Manufacturing, Organic Food, Packaging Services",1-10,"Turin, Piemonte, Italy","2,011,653",,"1,947,719",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clarien Van de Coevering,1.0,"Administrative Services, Food and Beverage, Manufacturing",,,,,,"Beeopak is an ecological food film in an organic cotton fabric soaked natural blend. Their products include casings, bags, solidarity purchases, accessories, outlet, and gift gards. Their customers contact through phone and email services.",+39 347 448 5412,beeopakcom@gmail.com,https://www.linkedin.com/company/beeopak-s-r-l,https://beeopak.com,,,,,2019-01-01,year,Active,Beeopak provides manufacturing and natural packaging services.,Less than $1M,10144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beeptalk,https://www.crunchbase.com/organization/beeptalk,Private,For Profit,"Chatbot, Information Technology, Internet, Software",1-10,"Rome, Lazio, Italy","3,352,653",,"3,266,255",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Suffritti,1.0,"Information Technology, Internet Services, Software",,,,,,"Advanced chatbot for businesses, powered by the advanced ChatGPT natural language processing model. With its super easy setup, Beeptalk allows businesses to provide automatic human-like support to clients. Bring your customer service to the next level with the power of generative AI and create your chatbot today, it's free!",,sales@beeptalk.app,https://www.linkedin.com/company/92795209,https://beeptalk.app/,,,,,2022-01-01,year,Active,"Advanced chatbot for businesses, powered by the advanced ChatGPT natural language processing model.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BeMotion,https://www.crunchbase.com/organization/bemotion,Private,For Profit,"Events, Internet, Training",,"Naples, Campania, Italy","1,865,446",,"1,803,672",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sebastiano Molaro,1.0,"Education, Events, Internet Services, Media and Entertainment",,,,,,"BeMotion is a subsidiary of the management consulting firm Tecnogea. They intend to assist teachers in their daily work not only by introducing them to new methodologies based on educational robotics, computational thinking, and coding, but also by providing engaging paths that stimulate the passion for learning by transmitting those cross-disciplinary skills to their students.",+39 081 3941522,info@bemotionsrl.it,,https://bemotionsrl.com,,,,,2018-01-01,year,Active,BeMotion is an offshoot of tecnogea management consulting company,,80127,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BeMyMentor,https://www.crunchbase.com/organization/bemymentor,Private,For Profit,"Business Development, Consulting, Management Consulting, Project Management, Training",1-10,"Turin, Piemonte, Italy","2,381,054",,"2,311,738",,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniela Belotti,1.0,"Administrative Services, Education, Other, Professional Services",,,,,,,39 011 0121365,info@bemymentor.eu,https://www.linkedin.com/company/bemymentor,https://www.bemymentor.eu,,,,,2019-01-01,year,Active,"BeMyMentor specializes in mentoring training, project management, communication, and consultancy solutions.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beryllium,https://www.crunchbase.com/organization/beryllium-5e88,Private,For Profit,"Analytics, Consulting, Content, Events, Public Relations",11-50,"Rome, Lazio, Italy","1,215,600",,"1,164,672",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claudio Lo Tufo, Gaetano Grasso",2.0,"Data and Analytics, Events, Media and Entertainment, Professional Services, Sales and Marketing",,,,,,,,info@beryllium.it,https://www.linkedin.com/company/beryllium-visionary-people/,https://www.beryllium.it,,,,,2020-01-01,year,Active,"Beryllium is a communications and consulting firm providing content, analytics, and event services.",,197,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BeSight,https://www.crunchbase.com/organization/besight-0152,Private,For Profit,"Fashion, Industrial, Information Technology",11-50,"Milan, Lombardia, Italy","1,112,198",,"1,063,467",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clothing and Apparel, Design, Information Technology, Manufacturing",,,,,,,+39 02 50043802,besight@besight.it,https://www.linkedin.com/company/besightsrl,https://www.besight.it,,,,,2019-01-01,year,Active,BeSight provides technology solutions in the fashion and luxury sector.,$1M to $10M,20144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Bewilder Beverages - Selvatiq,https://www.crunchbase.com/organization/bewilder-beverages-selvatiq-is-a-producer-and-seller-of-alcoholic-and-non-alcoholic-beverages,Private,For Profit,"Food and Beverage, Wine And Spirits",1-10,"Milan, Lombardia, Italy","1,669,032",,"1,610,229",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Branca International,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2021-03-10,,1.0,,,Food and Beverage,,,,,,"Selvatiq is an alcohol beverage company that sells gin, bitter, and vermouth, all distilled spirits. It also provides products for red gin, soda mediterranean coast, soda alpine forest, high mountain gin, tonics, and dry bitter martini.",,wild@selvatiq.com,https://www.linkedin.com/company/bewilder-beverages/about/,https://www.selvatiq.com/,,,,,2019-01-01,year,Active,Selvatiq is a producer and seller of alcoholic and non-alcoholic beverages.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beyond La Media Group,https://www.crunchbase.com/organization/beyond-la-media-group,Private,For Profit,Publishing,1-10,"Milan, Lombardia, Italy","3,751,023",,"3,652,007",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giampaolo Rossi,1.0,"Content and Publishing, Media and Entertainment",,,,,,,,,https://www.linkedin.com/company/oltre-la-media-group-srl,http://www.oltrelamediagroup.it/,,,,,2019-05-01,month,Active,Oltre La Media Group is a Book and Periodical Publishing agency.,,20162,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beyond Pharma,https://www.crunchbase.com/organization/beyond-pharma,Private,For Profit,"B2B, Health Care, Wellness",11-50,"Milan, Lombardia, Italy","1,807,275",,"1,746,362",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabio Luigi Gallucci,1.0,"Health Care, Other",,,,,,,,info@beyondpharma.it,https://www.linkedin.com/company/beyondpharmait/,https://www.beyondpharma.it,,,,,2019-01-01,year,Active,Beyond Pharma is a holding company that specializes in pharmacy services for small and medium-sized pharmacies.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
BG SAXO,https://www.crunchbase.com/organization/bg-saxo,Private,For Profit,"Financial Services, Small and Medium Businesses, Trading Platform",11-50,"Milan, Lombardia, Italy","1,000,009",,"953,947",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Other",,,,,,,800.133.133,contacts@bgsaxo.it,https://www.linkedin.com/company/bgsaxo,https://www.bgsaxo.it,,,,,2018-01-01,year,Active,BG SAXO provides a trading platform to institutional and private investors.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Bhave,https://www.crunchbase.com/organization/bhave,Private,For Profit,"Big Data, Digital Media, Sales",11-50,"Rome, Lazio, Italy","1,300,707",,"1,248,136",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniele Corsaro,1.0,"Data and Analytics, Media and Entertainment, Sales and Marketing",,,,,,,,bhave@bhave.it,https://www.linkedin.com/company/bhave-applied-behavioral-analysis/,https://bhave.it/,,,,,2020-12-16,day,Active,"Bhave is a digital firm offering customers small & big data behavior analysis, strategic sales management, and decision-making services.",Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
