,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
105.,EFFEGICI S.R.L.,IT11294420960,11294420960,MI2592497,11294420960,"VIA GIOVANNI KEPLERO, 19",Milano,20016,Lombardia,VIA GIOVANNI KEPLERO 19,Milano,20016,LOMBARDIA,433901,10/06/2020,,Attiva (con procedure di insolvenza),S.R.L.
106.,THE AVANTGARDE GROUP S.P.A.,IT11207830966,11207830966,MI2587254,11207830966,"VIA GIOSUE' CARDUCCI, 36",Milano,20123,Lombardia,VIA GIOSUE' CARDUCCI 36,Milano,20123,LOMBARDIA,701000,26/02/2020,,Attiva (con procedure di insolvenza),S.P.A.
107.,VALFIEMME LEGNAMI - SRL,IT00160040226,00160040226,TN0079362,00160040226,"VIA NAZIONALE, 95",Trento,38030,Trentino-Alto Adige/Südtirol,VIA NAZIONALE 95,Trento,38030,TRENTINO-ALTO,161000,12/11/2019,,Attiva (con procedure di insolvenza),S.R.L.
108.,LOGMAN S.R.L.,IT10921600960,10921600960,MI2566711,10921600960,"VIA GIUSEPPE PRINA, 15",Milano,20154,Lombardia,VIA GIUSEPPE PRINA 15,Milano,20154,LOMBARDIA,522400,23/07/2019,,Attiva,S.R.L.
109.,ADVANCED GLOBAL SOLUTION A.G.S. S.R.L.,IT12890180966,12890180966,MI2690955,12890180966,"STS DEL SEMPIONE, 170",Milano,20016,Lombardia,,,,,620200,31/03/2023,,Attiva (con procedure di insolvenza),S.R.L.
110.,PB RETAIL S.R.L.,IT16059601001,16059601001,RM1631857,16059601001,"PLE DELLA STAZIONE, SNC",Roma,00071,Lazio,PIAZZALE DELLA STAZIONE SNC,Roma,00071,LAZIO,471990,18/02/2021,,Attiva (con procedure di insolvenza),S.R.L.
111.,PLUTONE SRL,IT03973670361,03973670361,MO0432849,03973670361,"STR SANT'ANNA, 605",Modena,41122,Emilia-Romagna,STRADA SANT'ANNA 605,Modena,41122,EMILIA-ROMAGNA,291000,18/05/2021,,Attiva,S.R.L.
112.,ON - BOARD S.R.L.,IT10931470966,10931470966,MI2567761,10931470966,"VIA RUGGIERO SETTIMO, 4",Milano,20146,Lombardia,VIA RUGGERO SETTIMO 4,Milano,20146,LOMBARDIA,522400,05/08/2019,,Attiva,S.R.L.
113.,TIME LOG SRL,IT10931950967,10931950967,MI2567767,10931950967,"VIA RUGGERO SETTIMO, 4",Milano,20146,Lombardia,VIA RUGGERO SETTIMO 4,Milano,20146,LOMBARDIA,522440,31/07/2019,,Attiva,S.R.L.
114.,CAVICORE METALWORKING S.R.L.,IT11060600969,11060600969,AL0303715,11060600969,"VIA GOFFREDO MAMELI, 6",Alessandria,15033,Piemonte,VIA NAZIONALE 2,Alessandria,15020,PIEMONTE,244400,26/11/2019,,Attiva,S.R.L.
115.,BINOVA S.R.L.,IT14880471009,14880471009,RM1552707,14880471009,"VIA MELIBEO, 65",Roma,00155,Lazio,VIA MELIBEO 65,Roma,00155,LAZIO,471920,20/07/2018,,Attiva (con procedure di insolvenza),S.R.L.
116.,ALTEC INFORMATICA SRL,IT03024320644,03024320644,RM1591675,03024320644,"VIA DI SELVA NERA, 347/INT. 1",Roma,00166,Lazio,,,,,951100,20/06/2019,,Attiva (con procedure di insolvenza),S.R.L.
117.,LATTERIE RAGUSANE SOCIETA' COOPERATIVA AGRICOLA,IT01682920887,01682920887,RG0408789,01682920887,"VIA ALCIDE DE GASPERI, 20",Ragusa,97100,Sicilia,VIA ALCIDE DE GASPERI 20,Ragusa,97100,SICILIA,105120,03/05/2018,,Attiva (con procedure di insolvenza),S.C.A.R.L.P.A.
118.,GREEN PROJECT AGENCY SRL,IT04942890262,04942890262,VE0420793,04942890262,"VIA CASTELLANA, 22",Venezia,30174,Veneto,VIA CASTELLANA 22,Venezia,30174,VENETO,479910,12/04/2018,,Attiva (con procedure di insolvenza),S.R.L.
119.,DELIVERY ONE S.R.L.,IT10919440965,10919440965,MI2658234,10919440965,"VIA RUGGIERO SETTIMO, 4",Milano,20146,Lombardia,VIA BERNARDINO MANDELLI 11,Piacenza,29121,EMILIA-ROMAGNA,522440,22/07/2019,,Attiva,S.R.L.
120.,NOVALTIS S.R.L.,IT02304930684,02304930684,CB0210599,02304930684,"VIA DEI CAMPIONI, 10",Campobasso,86039,Molise,,,,,105110,01/12/2020,,Attiva,S.R.L.
121.,FACE WORK SRL,IT10932040966,10932040966,MI2654743,10932040966,"VIA RUGGIERO SETTIMO, 4",Milano,20146,Lombardia,VIA RUGGERO SETTIMO 4,Milano,20146,LOMBARDIA,522440,31/07/2019,,Attiva,S.R.L.
122.,BRICOFER GROUP S.P.A.,IT14666791000,14666791000,RM1537134,14666791000,"VIA VINCENZO TINEO, 97",Roma,00172,Lazio,CORSO ROMA 13/BIS,Torino,10024,PIEMONTE,475210,16/02/2018,,Attiva (con procedure di insolvenza),S.P.A.
123.,TECNOSUPERIORE S.R.L.,IT02835980356,02835980356,RE0317742,02835980356,"STP 63 DEL VALICO DEL CERRETO, 111",Reggio nell'Emilia,42044,Emilia-Romagna,STRADA PROVINCIALE 63 DEL VALICO DEL CERRETO 111,Reggio nell'Emilia,42044,EMILIA-ROMAGNA,275100,05/02/2019,,Attiva,S.R.L.
124.,CIEB HOLDING S.P.A.,IT04046980985,04046980985,BS0584359,04046980985,"VIA GIAN BATTISTA CACCIAMALI, 62",Brescia,25125,Lombardia,VIA GIAN BATTISTA CACCIAMALI 62,Brescia,25125,LOMBARDIA,701000,28/11/2018,,Attiva,S.P.A.
125.,MARVIN HOLDING S.R.L. IN LIQUIDAZIONE,IT03848470922,03848470922,CA0301746,03848470922,"VIA LOGUDORO, 48",Cagliari,09127,Sardegna,,,,,642000,07/05/2019,,In liquidazione,S.R.L.
126.,ELLEPI SERVICE SRL IN LIQUIDAZIONE,IT04323310161,04323310161,BG0453953,04323310161,"VLE CAMILLO BENSO DI CAVOUR, 1",Bergamo,24047,Lombardia,,,,,522440,14/09/2018,,In liquidazione,S.R.L.
127.,CRYSTAL MARITIME HOLDING S.R.L.,IT02683220996,02683220996,GE0504064,02683220996,"VIA AL PONTE REALE, 2",Genova,16124,Liguria,VIA AL PONTE REALE 2,Genova,16124,LIGURIA,701000,18/06/2020,,In liquidazione,S.R.L.
128.,VAM 16 INVEST S.R.L. IN LIQUIDAZIONE,IT11329360967,11329360967,MI2595077,11329360967,"VIA ALESSANDRO MANZONI, 3",Milano,20121,Lombardia,VIA ALESSANDRO MANZONI 3,Milano,20121,LOMBARDIA,701000,09/07/2020,,In liquidazione,S.R.L.
129.,IPPOCRATE INVESTMENTS III S.P.A. IN LIQUIDAZIONE,IT11061090962,11061090962,MI2576382,11061090962,"LGO AUGUSTO, 8",Milano,20122,Lombardia,,,,,642000,27/11/2019,,In liquidazione,S.P.A.
130.,D CLUB S.R.L. IN LIQUIDAZIONE,IT10896600961,10896600961,MI2564566,10896600961,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,02/07/2019,,In liquidazione,S.R.L.
131.,IPPOCRATE INVESTMENTS II S.P.A. IN LIQUIDAZIONE,IT10865320963,10865320963,MI2562578,10865320963,"LGO AUGUSTO, 8",Milano,20122,Lombardia,,,,,642000,13/06/2019,,In liquidazione,S.P.A.
132.,FIRST CLUB S.R.L. IN LIQUIDAZIONE,IT10562080969,10562080969,MI2541150,10562080969,"VLE BIANCA MARIA, 25",Milano,20122,Lombardia,VIALE BIANCA MARIA 25,Milano,20122,LOMBARDIA,642000,03/12/2018,,In liquidazione,S.R.L.
133.,REAL ESTATE MILANO SRL IN LIQUIDAZIONE,IT10476910962,10476910962,MI2534453,10476910962,"VIA SAVONA, 65/B",Milano,20144,Lombardia,VIA PIETRO VERRI 1,Milano,20121,LOMBARDIA,681000,19/09/2018,,In liquidazione,S.R.L.
134.,BODINO ENGINEERING S.R.L IN LIQUIDAZIONE,IT10430040963,10430040963,MI2530993,10430040963,"LGO AUGUSTO, 8",Milano,20122,Lombardia,,,,,642000,19/07/2018,,In liquidazione,S.R.L.
135.,AMBROSIA INVESTMENTS S.P.A. IN LIQUIDAZIONE,IT10367950960,10367950960,MI2525913,10367950960,"LGO AUGUSTO, 8",Milano,20122,Lombardia,VIA MELONE 2,Milano,20121,LOMBARDIA,642000,29/05/2018,,In liquidazione,S.P.A.
136.,LAURO S.R.L. IN LIQUIDAZIONE,IT10360170962,10360170962,MI2525241,10360170962,"CSO ITALIA, 22",Milano,20122,Lombardia,,,,,682001,22/05/2018,,In liquidazione,S.R.L.
137.,ACQUE TOSCANE S.P.A. IN LIQUIDAZIONE,IT09387560155,09387560155,MI2697118,04564950485,"VIA SAN VITO, 18",Milano,20123,Lombardia,,,,,360000,12/06/2023,,In liquidazione,S.P.A.
138.,MBTECH S.P.A. IN LIQUIDAZIONE,IT12239320968,12239320968,MI2648490,12239320968,"VIA DELLA POSTA, 10",Milano,20123,Lombardia,,,,,642000,04/02/2022,,In liquidazione,S.P.A.
139.,BLU CLUB S.R.L. IN LIQUIDAZIONE,IT11905500960,11905500960,MI2629996,11905500960,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,14/07/2021,,In liquidazione,S.R.L.
140.,V CLUB S.P.A. IN LIQUIDAZIONE,IT11777620961,11777620961,MI2624030,11777620961,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,10/05/2021,,In liquidazione,S.P.A.
141.,NET HOLDING S.P.A. IN LIQUIDAZIONE,IT16886021001,16886021001,RM1681755,16886021001,"VLE EUROPA, 190",Roma,00144,Lazio,VIALE EUROPA 190,Roma,00144,LAZIO,701000,12/10/2022,,In liquidazione,S.P.A.
142.,ELETTRICA CV S.R.L. IN LIQUIDAZIONE,IT04609680238,04609680238,VR0434687,04609680238," INDUSTRIA, 38",Verona,37042,Veneto,,,,,464730,15/01/2019,,In liquidazione,S.R.L.
143.,ITSART S.P.A. IN LIQUIDAZIONE,IT11513240967,11513240967,MI2608430,11513240967,"VIA PIETRO PALEOCAPA, 6",Milano,20121,Lombardia,,,,,591300,22/12/2020,,In liquidazione,S.P.A.
144.,DSV REAL ESTATE S.P.A. IN LIQUIDAZIONE,IT11085270962,11085270962,MI2578941,11085270962,"VIA DANTE ALIGHIERI, 134",Milano,20096,Lombardia,VIA DANTE ALIGHIERI 134,Milano,20096,LOMBARDIA,682001,17/12/2019,,In liquidazione,S.P.A.
145.,SOCIETA' CONSORTILE ASSAGO S.C.A.R.L. IN LIQUIDAZIONE,IT10931410962,10931410962,CO0404917,10931410962,"VIA REGINA TEODOLINDA, 49/A",Como,22100,Lombardia,VIA REGINA TEODOLINDA 49/A,Como,22100,LOMBARDIA,412000,31/07/2019,,In liquidazione,Società consortile a responsabilita' limitata
146.,WITHU ITALIA SRL IN LIQUIDAZIONE,IT12103490962,12103490962,VR0469095,12103490962,"VIA GIANNANTONIO CAMPOSTRINI, 76",Verona,37029,Veneto,,,,,702209,17/11/2021,,In liquidazione,S.R.L.
147.,FFAUF ITALIA S.P.A. IN LIQUIDAZIONE,IT94107780267,94107780267,TV0412567,04881520268,"VIA CASTELLANA, 34",Treviso,31039,Veneto,VIA CASTELLANA 34,Treviso,31039,VENETO,642000,02/05/2018,,In liquidazione,S.P.A.
148.,ALBERTI SRLS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA IN LIQUIDAZIONE,IT11945780960,11945780960,MI2632326,11945780960,"VLE TUNISIA, 25",Milano,20124,Lombardia,,,,,412000,04/08/2021,,In liquidazione,S.R.L. semplificata
149.,AMBRO SERVIZI SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT11079850969,11079850969,MI2578250,11079850969,"PZA SICILIA, 6",Milano,20146,Lombardia,,,,,522440,12/12/2019,,In liquidazione,S.C.A.R.L.P.A.
150.,GRCOM SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA IN LIQUIDAZIONE,IT10280070961,10280070961,MI2519316,10280070961,"VIA GIOVANNI CANTONI, 11",Milano,20144,Lombardia,,,,,619091,16/03/2018,,In liquidazione,S.R.L. semplificata
151.,O2 PLUS S.R.L.S. IN LIQUIDAZIONE,IT15038951008,15038951008,RM1566306,15038951008,"VIA TANARO, 55/BIS",Roma,00040,Lazio,,,,,829999,27/12/2018,,In liquidazione,S.R.L. semplificata
152.,NANTO FACTORY S.R.L. IN LIQUIDAZIONE,IT00529020240,00529020240,PD0483805,00529020240,"GAL BRANCALEONE, 2",Padova,35137,Veneto,,,,,310110,09/01/2025,,In liquidazione,S.R.L.
153.,VALICO DEI GIOVI S.C.A.R.L. IN LIQUIDAZIONE,IT09149991219,09149991219,BA0642834,09149991219,"VIA CLEMENTE CANCELLI, 11/A",Bari,70043,Puglia,STRADA PROVINCIALE 35 TER,Alessandria,15067,PIEMONTE,421100,08/02/2019,,In liquidazione,Società consortile a responsabilita' limitata
154.,PI.PIGRECO SRL IN LIQUIDAZIONE,IT11888480966,11888480966,MI2629591,11888480966,"PZA SAN GIUSEPPE, 11",Milano,20162,Lombardia,,,,,412000,01/07/2021,,In liquidazione,S.R.L.
155.,MEDEA 1905 SRL,IT00804980159,00804980159,MI2628596,00694600966,"LGO AUGUSTO, 8",Milano,20122,Lombardia,LARGO AUGUSTO 8,Milano,20122,LOMBARDIA,464710,05/07/2021,,Attiva,S.R.L.
156.,TEN FOOD & BEVERAGE S.R.L. IN LIQUIDAZIONE,IT10580170966,10580170966,MI2543094,10580170966,"VIA SENATO, 6",Milano,20121,Lombardia,VIA SENATO 6,Milano,20121,LOMBARDIA,561011,20/12/2018,,In liquidazione,S.R.L.
157.,SERLIO 7 S.R.L. IN LIQUIDAZIONE,IT10286560965,10286560965,MI2520308,10286560965,"VIA SAVONA, 52",Milano,20144,Lombardia,,,,,412000,16/03/2018,,In liquidazione,S.R.L.
158.,GOODEAT ITALIA S.R.L. IN LIQUIDAZIONE,IT03760030134,03760030134,MI2525428,03760030134,"VIA VITTOR PISANI, 8/A",Milano,20124,Lombardia,VIA BRERA 8,Milano,20121,LOMBARDIA,561011,22/02/2018,,In liquidazione,S.R.L.
159.,AL.TEK SRL,IT10673930961,10673930961,MI2549131,10673930961,"PZA QUATTRO NOVEMBRE, 4",Milano,20124,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124,LOMBARDIA,467220,06/02/2019,,Attiva,S.R.L.
160.,NTC S.R.L. IN LIQUIDAZIONE,IT02633380692,02633380692,CH0403613,02633380692,"VIA PER TREGLIO, 150/152",Chieti,66034,Abruzzo,VIA PER TREGLIO 150/152,Chieti,66034,ABRUZZO,467100,19/07/2018,,In liquidazione,S.R.L.
161.,PERBAC S.R.L. IN LIQUIDAZIONE,IT11354410968,11354410968,BG0487055,11354410968,"VIA SANT'ORSOLA, 2",Bergamo,24122,Lombardia,,,,,471120,28/07/2020,,In liquidazione,S.R.L.
162.,MANGONE 4 SRL IN LIQUIDAZIONE,IT10469390966,10469390966,MI2533970,10469390966,"VIA FATEBENEFRATELLI, 15",Milano,20121,Lombardia,,,,,411000,13/09/2018,,In liquidazione,S.R.L.
163.,CONSORZIO CASA ZERO,IT05114560260,05114560260,TV0426585,05114560260,"VIA PRIULA, 78/A",Treviso,31040,Veneto,,,,,411000,15/10/2020,,In liquidazione,Consorzio
164.,RAW - MATERIALS SRL IN LIQUIDAZIONE,IT11473440961,11473440961,MI2605185,11473440961,VIA FRATELLI CERVI,Milano,20054,Lombardia,,,,,467210,05/11/2020,,In liquidazione,S.R.L.
165.,ALCHIRO S.R.L. IN LIQUIDAZIONE,IT10463910967,10463910967,MI2533610,10463910967,"VIA GIOVANNI SPADOLINI, 7",Milano,20141,Lombardia,,,,,467210,10/09/2018,,In liquidazione,S.R.L.
166.,GORILLAS TECHNOLOGIES ITALY S.R.L. IN LIQUIDAZIONE,IT11710090967,11710090967,MI2620335,11710090967,"VLE TUNISIA, 22",Milano,20124,Lombardia,,,,,479110,07/04/2021,,In liquidazione,S.R.L.
167.,ARCELORMITTAL ITALY SERVICES S.R.L. - IN LIQUIDAZIONE,IT10354940966,10354940966,MI2525099,10354940966,"VLE CERTOSA, 239",Milano,20151,Lombardia,,,,,467210,18/05/2018,,In liquidazione,S.R.L.
168.,B.S.M. SRL - IN LIQUIDAZIONE,IT10572060969,10572060969,MB2542077,10572060969,"VIA MULINELLO, 28",Monza e della Brianza,20832,Lombardia,,,,,412000,11/12/2018,,In liquidazione,S.R.L.
169.,ECOSERVIS S.R.L. IN LIQUIDAZIONE,IT10718930968,10718930968,MB2552624,10718930968,"VIA VINCENZO MONTI, 74",Monza e della Brianza,20832,Lombardia,VIA GIUSEPPE GARIBALDI 6/A,Monza e della Brianza,20832,LOMBARDIA,522922,05/03/2019,,In liquidazione,S.R.L.
170.,4EVER LOGISTIC S.R.L. IN LIQUIDAZIONE,IT11148060962,11148060962,MB2583152,11148060962,"VIA MONTE ROSA, 34",Monza e della Brianza,20863,Lombardia,VIA MONTE ROSA 34,Monza e della Brianza,20863,LOMBARDIA,522922,21/01/2020,,In liquidazione,S.R.L.
171.,TAYLOR MADE SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT10862920963,10862920963,MI2562481,10862920963,"VIA LARGA, 19",Milano,20122,Lombardia,,,,,702201,12/06/2019,,In liquidazione,S.C.A.R.L.P.A.
172.,AG HOLDING S.R.L.,IT08220150729,08220150729,BA0612551,08220150729,"VIA GIUSEPPE FANELLI, 206/4",Bari,70125,Puglia,VIA GIUSEPPE FANELLI 206/4,Bari,70125,PUGLIA,642000,17/10/2018,,Attiva,S.R.L.
173.,DIABLO & GO S.R.L. IN LIQUIDAZIONE,IT05122530289,05122530289,PD0444730,05122530289,"VIA DANTE ALIGHIERI, 41",Padova,35139,Veneto,,,,,465100,21/02/2018,,In liquidazione,S.R.L.
174.,SILK SPORTS CAR COMPANY S.R.L. SIGLABILE SILK SPORTS S.R.L. E/O SILK SPORTS CAR S.R.L.,IT11513520962,11513520962,RE0326434,11513520962,"VIA DELL'AERONAUTICA, 15",Reggio nell'Emilia,42124,Emilia-Romagna,VIA DELL'AERONAUTICA 15,Reggio nell'Emilia,42124,EMILIA-ROMAGNA,721909,23/12/2020,,In liquidazione,S.R.L.
175.,CARGOBROKER SRL,IT12192680010,12192680010,TO1271647,12192680010,"CSO UNIONE SOVIETICA, 560/18",Torino,10135,Piemonte,CORSO UNIONE SOVIETICA 560/18,Torino,10135,PIEMONTE,532000,16/10/2019,,In liquidazione,S.R.L.
176.,UNOCOOP SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT12029390015,12029390015,TO1259328,12029390015,"VIA PIER LUIGI PALESTRINA, 44",Torino,10155,Piemonte,,,,,812100,09/01/2019,,In liquidazione,S.C.A.R.L.P.A.
177.,LIKE SICILIA S.R.L. - IN LIQUIDAZIONE,IT08285720721,08285720721,BA0617198,08285720721,STR PROVINCIALE RUTIGLIANO ALLA STR,Bari,70018,Puglia,,,,,471120,25/03/2019,,In liquidazione,S.R.L.
178.,COFITEL S.P.A.,IT16087241002,16087241002,RM1633732,16087241002,"VIA DELLA MERCEDE, 42",Roma,00187,Lazio,VIA DELLA MERCEDE 42,Roma,00187,LAZIO,642000,08/03/2021,,In liquidazione,S.P.A.
179.,HOLDING FORMAZIONE S.R.L.,IT16305901007,16305901007,RM1648359,16305901007,"VIA TIBURTINA, 652/A",Roma,00159,Lazio,VIA TIBURTINA 652/A,Roma,00159,LAZIO,855920,03/09/2021,,In liquidazione,S.R.L.
180.,BIO VALORE WORLD S.R.L. SOCIETA' BENEFIT,IT14984221003,14984221003,CB0209930,14984221003,"VIA GIULIO PASTORE, 18",Campobasso,86039,Molise,VIA GIULIO PASTORE 18,Campobasso,86039,MOLISE,201600,26/10/2018,,In liquidazione,S.R.L.
181.,AMBROSIANA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT02727840189,02727840189,MI2564588,02727840189,"VLE MONZA, 347",Milano,20126,Lombardia,,,,,522922,10/09/2018,,In liquidazione,S.R.L. semplificata
182.,NUOVA IDEA SRL,IT03720121205,03720121205,CL0115274,03720121205,"VIA CALDERARO, 16/18",Caltanissetta,93100,Sicilia,VIA CALDERARO 16/18,Caltanissetta,93100,SICILIA,812100,12/07/2018,,In liquidazione,S.R.L.
183.,SOLUZIONI E SERVIZI SOCIETA' COOPERATIVA,IT08295050721,08295050721,BA0617963,08295050721,"VLE JOHN FITZGERALD KENNEDY, 84",Bari,70124,Puglia,VIALE JOHN FITZGERALD KENNEDY 84,Bari,70124,PUGLIA,522440,05/04/2019,,In liquidazione,S.C.A.R.L.P.A.
184.,NAVIT S.A.S. DI DE ROSA GUGLIELMO IN AMMINISTRAZIONE PROVVISORI A,IT08824621216,08824621216,PE0417927,08824621216,"CNT FONTANOVI, SN",Pescara,65019,Abruzzo,CONTRADA FONTANOVI SN,Pescara,65019,ABRUZZO,256200,04/01/2018,,In liquidazione,S.A.S.
185.,DIMENSIONE LAVORO SOCIETA' COOPERATIVA A R.L. IN LIQUIDAZIONE,IT11585090969,11585090969,MI2612293,11585090969,"VIA LODOVICO SETTALA, 10",Milano,20124,Lombardia,,,,,522922,25/01/2021,,In liquidazione,S.C.A.R.L.P.A.
186.,N SUSHI SOCIETA' A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE,IT14908541007,14908541007,PA0432945,14908541007,"VIA IMPERATORE FEDERICO, 100",Palermo,90143,Sicilia,,,,,960905,29/08/2018,,In liquidazione,S.R.L.
187.,B HUMAN S.R.L.,IT15773711005,15773711005,RM1613045,15773711005,"VIA DELLA MARRANA, 74",Roma,00181,Lazio,VIA DELLA MARRANA 74,Roma,00181,LAZIO,522400,01/07/2020,,In liquidazione,S.R.L.
188.,UNISERVICE S.R.L.,IT12146320960,12146320960,MI2643949,12146320960,"VIA MONTE NAPOLEONE, 8",Milano,20121,Lombardia,,,,,683200,22/12/2021,,In liquidazione,S.R.L.
189.,EL TACOMAKI S.R.L,IT10936310969,10936310969,MI2567737,10936310969,"VIA AURELIO SAFFI, 21",Milano,20123,Lombardia,VIA AURELIO SAFFI 21,Milano,20123,LOMBARDIA,561011,02/08/2019,,In liquidazione,S.R.L.
190.,THE WORKERS S.R.L. IN LIQUIDAZIONE,IT11076590964,11076590964,MI2577743,11076590964,"VIA GIUSEPPE PRINA, 9",Milano,20154,Lombardia,,,,,829210,05/12/2019,,In liquidazione,S.R.L.
191.,BESTLOG S.R.L.,IT04629650237,04629650237,VR0436214,04629650237,"VIA GERMANIA, 1/D",Verona,37136,Veneto,VIA GERMANIA 1/D,Verona,37136,VENETO,522922,13/03/2019,,In liquidazione,S.R.L.
192.,GRUPPO EDITORIALE JEDI S.R.L.,IT10315270966,10315270966,MI2521811,10315270966,"VIA GIOVACCHINO BELLI, 14",Milano,20127,Lombardia,,,,,581400,12/04/2018,,In liquidazione,S.R.L.
193.,TEKNOIMPIANTI S.R.L.,IT09332941211,09332941211,NA1024735,09332941211,"VIA CONTE PIROMALLO, 44",Napoli,80040,Campania,,,,,479110,02/10/2019,,Attiva,S.R.L.
194.,ECOFAM SRL,IT04171220249,04171220249,VR0438930,04171220249,"VIA ALESSANDRO VOLTA, 31",Verona,37069,Veneto,VIA ALESSANDRO VOLTA 31,Verona,37062,VENETO,479910,05/09/2018,,In liquidazione,S.R.L.
195.,RIF LINE INTERNATIONAL S.P.A.,IT14708451001,14708451001,RM1540073,14708451001,PZA GENERALE CARLO ALBERTO DALLA CH,Roma,00054,Lazio,PIAZZA GENERALE CARLO ALBERTO DALLA CHIESA 43,Roma,00054,LAZIO,701000,14/03/2018,,In liquidazione,S.P.A.
196.,DES GROUP S.R.L.,IT02978390645,02978390645,IS0212405,02978390645,"VIA GIUSEPPE SARAGAT, 19",Isernia,86170,Molise,VIA ANTONIO ANNARUMMA 37,Avellino,83100,CAMPANIA,412000,02/05/2018,,In liquidazione,S.R.L.
197.,COMETA SRL,IT10382190964,10382190964,RM1713149,10382190964,"VIA FANO ADRIANO, 6",Roma,00132,Lazio,,,,,466920,07/06/2018,,In liquidazione,S.R.L.
198.,NOVO TRADE S.R.L.,IT09253101217,09253101217,CE0339478,09253101217,"VIA DOMENICO CIMAROSA, 14",Caserta,81024,Campania,VIA NAPOLI 475,Caserta,81024,CAMPANIA,464310,31/05/2019,,In liquidazione,S.R.L.
199.,SANITATE GROUP S.R.L.,IT11365190963,11365190963,MI2598024,11365190963,"VIA GIUSEPPE MENGONI, 4",Milano,20121,Lombardia,,,,,329919,05/08/2020,,In liquidazione,S.R.L.
200.,COBRE SRL,IT03855020131,03855020131,CO0401811,03855020131,"VIA DOMENICO VANDELLI, 20",Como,22100,Lombardia,VIA DOMENICO VANDELLI 20,Como,22100,LOMBARDIA,432201,02/08/2019,,In liquidazione,S.R.L.
201.,WE ENERGY S.R.L. - IN LIQUIDAZIONE,IT10330310961,10330310961,MI2523886,10330310961,"VIA CARLO FARINI, 93",Milano,20159,Lombardia,,,,,352300,24/04/2018,,In liquidazione,S.R.L.
202.,NEXYIU ITALIA S.R.L.,IT04616460236,04616460236,VR0435181,04616460236,"VIA GENERALE ARMANDO DIAZ, 2",Verona,37121,Veneto,VIA GENERALE ARMANDO DIAZ 2,Verona,37121,VENETO,620200,29/01/2019,,In liquidazione,S.R.L.
203.,PROJECT FUTURE S.R.L.,IT14922231007,14922231007,RM1555822,14922231007,"VLE GIORGIO RIBOTTA, 11",Roma,00144,Lazio,VIALE GIORGIO RIBOTTA 11,Roma,00144,LAZIO,465100,17/09/2018,,In liquidazione,S.R.L.
204.,NEW JOB S.R.L.,IT10493380967,10493380967,MI2535449,10493380967,"VIA 4 NOVEMBRE, 5",Milano,20032,Lombardia,,,,,522440,25/09/2018,,In liquidazione,S.R.L.
205.,PORTAGE S.R.L.,IT14897841004,14897841004,RM1554095,14897841004,"VIA GIORGIO VASARI, 4",Roma,00196,Lazio,VIA GIORGIO VASARI 4,Roma,00196,LAZIO,522410,03/08/2018,,In liquidazione,S.R.L.
206.,LOGISTIC CARE S.R.L.,IT05873510654,05873510654,MI2695658,05873510654,"VLE MISURATA, 16",Milano,20146,Lombardia,,,,,522922,30/12/2019,,In liquidazione,S.R.L.
207.,ICARO SOCIETA' COOPERATIVA CONSORTILE A RESPONSABILITA' LIMITATA,IT04058890361,04058890361,MO0440153,04058890361," COSTELLAZIONI, 170",Modena,41126,Emilia-Romagna,,,,,412000,16/01/2023,,In liquidazione,Società cooperativa consortile
208.,IR LOGISTIC S.R.L.,IT01763020334,01763020334,TO1311978,01763020334,"VIA LUIGI EINAUDI, 29",Torino,10024,Piemonte,VIA LUIGI EINAUDI 29,Torino,10024,PIEMONTE,522922,28/05/2018,,In liquidazione,S.R.L.
209.,L.T.M. SOCIETA' A RESPONSABILITA' LIMITATA - IN LIQUIDAZIONE,IT12088630012,12088630012,TO1263791,12088630012,"VIA MATILDE SERAO, 28",Torino,10141,Piemonte,,,,,463410,20/03/2019,,In liquidazione,S.R.L.
210.,WORK SAFETY S.P.A.,IT01018420149,01018420149,SO0076690,01018420149,"VIA GIOVANNI BATTISTA MARTINELLI, 5",Sondrio,23017,Lombardia,VIA FIUME 48,Sondrio,23100,LOMBARDIA,749021,28/05/2018,,In liquidazione,S.P.A.
